category,command,type,description,permissions,entrypoint,implementation,options_or_args,status,notes
Bang Chiến,?bc,alias,Đăng ký Bang Chiến,Owner/whitelist,src/events/client/messageCreate.js:1561,src/commands/bangchien/bangchien.js,"BANG CHIEN COMMANDS | ?bangchien, ?bc, ?dangkybangchien - Đăng ký Bang Chiến",active,
Bang Chiến,?dangkybangchien,alias,Đăng ký Bang Chiến,Owner/whitelist,src/events/client/messageCreate.js:1561,src/commands/bangchien/bangchien.js,"BANG CHIEN COMMANDS | ?bangchien, ?bc, ?dangkybangchien - Đăng ký Bang Chiến",active,
Bang Chiến,?xemds,prefix,"Xem danh sách đăng ký đầy đủ (tạm thời, không bị cắt)",Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1566,src/utils/bangchienState.js,"?xemds - Xem danh sách đăng ký đầy đủ (tạm thời, không bị cắt)",active,
Bang Chiến,?listbangchien,prefix,Xem chi tiết lần bang chiến gần nhất,Role Quản Lý,src/events/client/messageCreate.js:1601,src/commands/bangchien/listbangchien.js,"?listbangchien, ?listbc - Xem chi tiết lần bang chiến gần nhất",active,
Bang Chiến,?listbc,alias,Xem chi tiết lần bang chiến gần nhất,Role Quản Lý,src/events/client/messageCreate.js:1601,src/commands/bangchien/listbangchien.js,"?listbangchien, ?listbc - Xem chi tiết lần bang chiến gần nhất",active,
Bang Chiến,?bcend,prefix,Kết thúc BC (thay thế bcwin/bcthua),Owner/whitelist,src/events/client/messageCreate.js:1607,src/commands/bangchien/bcend.js,"?bcend, ?ketthucbc - Kết thúc BC (thay thế bcwin/bcthua)",active,
Bang Chiến,?ketthucbc,alias,Kết thúc BC (thay thế bcwin/bcthua),Owner/whitelist,src/events/client/messageCreate.js:1607,src/commands/bangchien/bcend.js,"?bcend, ?ketthucbc - Kết thúc BC (thay thế bcwin/bcthua)",active,
Bang Chiến,?endbc,alias,Kết thúc BC (thay thế bcwin/bcthua),Owner/whitelist,src/events/client/messageCreate.js:1607,src/commands/bangchien/bcend.js,"?bcend, ?ketthucbc - Kết thúc BC (thay thế bcwin/bcthua)",active,
Bang Chiến,?bcql,prefix,Panel quản lý Bang Chiến (chỉ Leader),Role Quản Lý,src/events/client/messageCreate.js:1613,src/commands/bangchien/bcquanly.js,"?bcql, ?bcquanly - Panel quản lý Bang Chiến (chỉ Leader)",active,
Bang Chiến,?bcquanly,alias,Panel quản lý Bang Chiến (chỉ Leader),Role Quản Lý,src/events/client/messageCreate.js:1613,src/commands/bangchien/bcquanly.js,"?bcql, ?bcquanly - Panel quản lý Bang Chiến (chỉ Leader)",active,
Bang Chiến,?bangchienquanly,alias,Panel quản lý Bang Chiến (chỉ Leader),Role Quản Lý,src/events/client/messageCreate.js:1613,src/commands/bangchien/bcquanly.js,"?bcql, ?bcquanly - Panel quản lý Bang Chiến (chỉ Leader)",active,
Gieo quẻ/Cầu duyên,?resetque,prefix,Reset lượt gieo quẻ,Owner/whitelist,src/events/client/messageCreate.js:1619,src/commands/gieoque/resetque.js,"?resetque, ?rsq - Reset lượt gieo quẻ",active,
Gieo quẻ/Cầu duyên,?rsq,alias,Reset lượt gieo quẻ,Owner/whitelist,src/events/client/messageCreate.js:1619,src/commands/gieoque/resetque.js,"?resetque, ?rsq - Reset lượt gieo quẻ",active,
Bang Chiến,?huybangchien,prefix,Huỷ phiên đăng ký Bang Chiến,Admin/quyền Discord,src/events/client/messageCreate.js:1624,src/commands/bangchien/huybangchien.js,"?huybangchien, ?huybc - Huỷ phiên đăng ký Bang Chiến",active,
Bang Chiến,?huybc,alias,Huỷ phiên đăng ký Bang Chiến,Admin/quyền Discord,src/events/client/messageCreate.js:1624,src/commands/bangchien/huybangchien.js,"?huybangchien, ?huybc - Huỷ phiên đăng ký Bang Chiến",active,
Bang Chiến,?bcswap,prefix,Đổi người giữa các team,Role Quản Lý,src/events/client/messageCreate.js:1630,src/commands/bangchien/bcswap.js,"?bcswap, ?bcdoi, ?doiteam - Đổi người giữa các team",active,
Bang Chiến,?bcdoi,alias,Đổi người giữa các team,Role Quản Lý,src/events/client/messageCreate.js:1630,src/commands/bangchien/bcswap.js,"?bcswap, ?bcdoi, ?doiteam - Đổi người giữa các team",active,
Bang Chiến,?doiteam,alias,Đổi người giữa các team,Role Quản Lý,src/events/client/messageCreate.js:1630,src/commands/bangchien/bcswap.js,"?bcswap, ?bcdoi, ?doiteam - Đổi người giữa các team",active,
Bang Chiến,?bcchihuy,prefix,Đặt chỉ huy,Role Quản Lý,src/events/client/messageCreate.js:1636,src/commands/bangchien/bcchihuy.js,"?bcchihuy, ?bcch - Đặt chỉ huy",active,
Bang Chiến,?bcch,alias,Đặt chỉ huy,Role Quản Lý,src/events/client/messageCreate.js:1636,src/commands/bangchien/bcchihuy.js,"?bcchihuy, ?bcch - Đặt chỉ huy",active,
Bang Chiến,?setchihuy,alias,Đặt chỉ huy,Role Quản Lý,src/events/client/messageCreate.js:1636,src/commands/bangchien/bcchihuy.js,"?bcchihuy, ?bcch - Đặt chỉ huy",active,
Bang Chiến,?bcleader,prefix,Đặt leader team,Role Quản Lý,src/events/client/messageCreate.js:1642,src/commands/bangchien/bcleader.js,"?bcleader, ?bcld - Đặt leader team",active,
Bang Chiến,?bcld,alias,Đặt leader team,Role Quản Lý,src/events/client/messageCreate.js:1642,src/commands/bangchien/bcleader.js,"?bcleader, ?bcld - Đặt leader team",active,
Bang Chiến,?setleader,alias,Đặt leader team,Role Quản Lý,src/events/client/messageCreate.js:1642,src/commands/bangchien/bcleader.js,"?bcleader, ?bcld - Đặt leader team",active,
Bang Chiến,?bcadd,prefix,Thêm người vào danh sách BC,Role Quản Lý,src/events/client/messageCreate.js:1648,src/commands/bangchien/bcadd.js,?bcadd - Thêm người vào danh sách BC,active,
Bang Chiến,?bcaddmem,alias,Thêm người vào danh sách BC,Role Quản Lý,src/events/client/messageCreate.js:1648,src/commands/bangchien/bcadd.js,?bcadd - Thêm người vào danh sách BC,active,
Bang Chiến,?thembc,alias,Thêm người vào danh sách BC,Role Quản Lý,src/events/client/messageCreate.js:1648,src/commands/bangchien/bcadd.js,?bcadd - Thêm người vào danh sách BC,active,
Bang Chiến,?lenhbangchien,prefix,Xem lệnh bang chiến,Role Quản Lý,src/events/client/messageCreate.js:1654,src/commands/bangchien/lenhbangchien.js,"?lenhbangchien, ?lenhbc, ?lbc - Xem lệnh bang chiến",active,
Bang Chiến,?lenhbc,alias,Xem lệnh bang chiến,Role Quản Lý,src/events/client/messageCreate.js:1654,src/commands/bangchien/lenhbangchien.js,"?lenhbangchien, ?lenhbc, ?lbc - Xem lệnh bang chiến",active,
Bang Chiến,?lbc,alias,Xem lệnh bang chiến,Role Quản Lý,src/events/client/messageCreate.js:1654,src/commands/bangchien/lenhbangchien.js,"?lenhbangchien, ?lenhbc, ?lbc - Xem lệnh bang chiến",active,
Bang Chiến,?bchelp,alias,Xem lệnh bang chiến,Role Quản Lý,src/events/client/messageCreate.js:1654,src/commands/bangchien/lenhbangchien.js,"?lenhbangchien, ?lenhbc, ?lbc - Xem lệnh bang chiến",active,
Bang Chiến,?helpbc,alias,Xem lệnh bang chiến,Role Quản Lý,src/events/client/messageCreate.js:1654,src/commands/bangchien/lenhbangchien.js,"?lenhbangchien, ?lenhbc, ?lbc - Xem lệnh bang chiến",active,
Bang Chiến,?bcsize,prefix,Thay đổi số người của các Team BC,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1660,src/commands/bangchien/bcsize.js,"?bcsize, ?teamsize, ?bcsoluong - Thay đổi số người của các Team BC",active,
Bang Chiến,?teamsize,alias,Thay đổi số người của các Team BC,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1660,src/commands/bangchien/bcsize.js,"?bcsize, ?teamsize, ?bcsoluong - Thay đổi số người của các Team BC",active,
Bang Chiến,?bcsoluong,alias,Thay đổi số người của các Team BC,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1660,src/commands/bangchien/bcsize.js,"?bcsize, ?teamsize, ?bcsoluong - Thay đổi số người của các Team BC",active,
Bang Chiến,?setbc,prefix,Set kênh BC mặc định,Owner/whitelist,src/events/client/messageCreate.js:1666,src/commands/bangchien/setbc.js,"?setbc, ?setbangchien, ?bcchannel - Set kênh BC mặc định",active,
Bang Chiến,?setbangchien,alias,Set kênh BC mặc định,Owner/whitelist,src/events/client/messageCreate.js:1666,src/commands/bangchien/setbc.js,"?setbc, ?setbangchien, ?bcchannel - Set kênh BC mặc định",active,
Bang Chiến,?bcchannel,alias,Set kênh BC mặc định,Owner/whitelist,src/events/client/messageCreate.js:1666,src/commands/bangchien/setbc.js,"?setbc, ?setbangchien, ?bcchannel - Set kênh BC mặc định",active,
Bang Chiến,?bcrole,prefix,Xem thành viên theo role,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1672,src/commands/bangchien/bcrole.js,"?bcrole, ?bctanker, ?bcdps, ?bchealer - Xem thành viên theo role",active,
Bang Chiến,?bctanker,alias,Xem thành viên theo role,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1672,src/commands/bangchien/bcrole.js,"?bcrole, ?bctanker, ?bcdps, ?bchealer - Xem thành viên theo role",active,
Bang Chiến,?bcdps,alias,Xem thành viên theo role,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1672,src/commands/bangchien/bcrole.js,"?bcrole, ?bctanker, ?bcdps, ?bchealer - Xem thành viên theo role",active,
Bang Chiến,?bchealer,alias,Xem thành viên theo role,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1672,src/commands/bangchien/bcrole.js,"?bcrole, ?bctanker, ?bcdps, ?bchealer - Xem thành viên theo role",active,
Bang Chiến,?chotbc,prefix,Thêm role Bang Chiến cho mọi người trong danh sách,Role Quản Lý,src/events/client/messageCreate.js:1678,src/commands/bangchien/bcchot.js,"?chotbc, ?bcchot - Thêm role Bang Chiến cho mọi người trong danh sách",active,
Bang Chiến,?bcchot,alias,Thêm role Bang Chiến cho mọi người trong danh sách,Role Quản Lý,src/events/client/messageCreate.js:1678,src/commands/bangchien/bcchot.js,"?chotbc, ?bcchot - Thêm role Bang Chiến cho mọi người trong danh sách",active,
Bang Chiến,?chotbangchien,alias,Thêm role Bang Chiến cho mọi người trong danh sách,Role Quản Lý,src/events/client/messageCreate.js:1678,src/commands/bangchien/bcchot.js,"?chotbc, ?bcchot - Thêm role Bang Chiến cho mọi người trong danh sách",active,
Bang Chiến,?addbcrole,alias,Thêm role Bang Chiến cho mọi người trong danh sách,Role Quản Lý,src/events/client/messageCreate.js:1678,src/commands/bangchien/bcchot.js,"?chotbc, ?bcchot - Thêm role Bang Chiến cho mọi người trong danh sách",active,
Bang Chiến,?finalize,alias,Thêm role Bang Chiến cho mọi người trong danh sách,Role Quản Lý,src/events/client/messageCreate.js:1678,src/commands/bangchien/bcchot.js,"?chotbc, ?bcchot - Thêm role Bang Chiến cho mọi người trong danh sách",active,
Bang Chiến,?tatmic,prefix,Tắt mic trong voice BC (giữ mic Leader/Chỉ Huy khi all),Role Quản Lý,src/events/client/messageCreate.js:1684,src/commands/bangchien/bcmicoff.js,"?tatmic, ?bcmicoff - Tắt mic trong voice BC (giữ mic Leader/Chỉ Huy khi all)",active,
Bang Chiến,?bcmicoff,alias,Tắt mic trong voice BC (giữ mic Leader/Chỉ Huy khi all),Role Quản Lý,src/events/client/messageCreate.js:1684,src/commands/bangchien/bcmicoff.js,"?tatmic, ?bcmicoff - Tắt mic trong voice BC (giữ mic Leader/Chỉ Huy khi all)",active,
Bang Chiến,?bcmute,alias,Tắt mic trong voice BC (giữ mic Leader/Chỉ Huy khi all),Role Quản Lý,src/events/client/messageCreate.js:1684,src/commands/bangchien/bcmicoff.js,"?tatmic, ?bcmicoff - Tắt mic trong voice BC (giữ mic Leader/Chỉ Huy khi all)",active,
Bang Chiến,?bcnomic,alias,Tắt mic trong voice BC (giữ mic Leader/Chỉ Huy khi all),Role Quản Lý,src/events/client/messageCreate.js:1684,src/commands/bangchien/bcmicoff.js,"?tatmic, ?bcmicoff - Tắt mic trong voice BC (giữ mic Leader/Chỉ Huy khi all)",active,
Bang Chiến,?momic,prefix,Bật mic trong voice BC,Role Quản Lý,src/events/client/messageCreate.js:1690,src/commands/bangchien/bcmicon.js,"?momic, ?bcmicon - Bật mic trong voice BC",active,
Bang Chiến,?bcmicon,alias,Bật mic trong voice BC,Role Quản Lý,src/events/client/messageCreate.js:1690,src/commands/bangchien/bcmicon.js,"?momic, ?bcmicon - Bật mic trong voice BC",active,
Bang Chiến,?bcmic,alias,Bật mic trong voice BC,Role Quản Lý,src/events/client/messageCreate.js:1690,src/commands/bangchien/bcmicon.js,"?momic, ?bcmicon - Bật mic trong voice BC",active,
Bang Chiến,?bcspeak,alias,Bật mic trong voice BC,Role Quản Lý,src/events/client/messageCreate.js:1690,src/commands/bangchien/bcmicon.js,"?momic, ?bcmicon - Bật mic trong voice BC",active,
Bang Chiến,?bcmicreset,prefix,Reset mic permissions trong voice BC,Role Quản Lý,src/events/client/messageCreate.js:1696,src/commands/bangchien/bcmicreset.js,?bcmicreset - Reset mic permissions trong voice BC,active,
Bang Chiến,?resetmic,alias,Reset mic permissions trong voice BC,Role Quản Lý,src/events/client/messageCreate.js:1696,src/commands/bangchien/bcmicreset.js,?bcmicreset - Reset mic permissions trong voice BC,active,
Bang Chiến,?bcmove,prefix,Di chuyển người giữa các team,Role Quản Lý,src/events/client/messageCreate.js:1702,src/commands/bangchien/bcmove.js,"?bcmove, ?bcdoi - Di chuyển người giữa các team",active,
Bang Chiến,?bcdoi,alias,Di chuyển người giữa các team,Role Quản Lý,src/events/client/messageCreate.js:1702,src/commands/bangchien/bcmove.js,"?bcmove, ?bcdoi - Di chuyển người giữa các team",unclear,Trùng alias; nhánh tại src/events/client/messageCreate.js:1630 sẽ bắt trước nhánh này.
Bang Chiến,?dichuyen,alias,Di chuyển người giữa các team,Role Quản Lý,src/events/client/messageCreate.js:1702,src/commands/bangchien/bcmove.js,"?bcmove, ?bcdoi - Di chuyển người giữa các team",active,
Thông báo/Boss/Lịch,?nhacnho,prefix,Đăng ký nhận nhắc nhở event,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1708,src/commands/thongbao/nhacnho.js,"?nhacnho, ?nn, ?remind - Đăng ký nhận nhắc nhở event",active,
Thông báo/Boss/Lịch,?nn,alias,Đăng ký nhận nhắc nhở event,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1708,src/commands/thongbao/nhacnho.js,"?nhacnho, ?nn, ?remind - Đăng ký nhận nhắc nhở event",active,
Thông báo/Boss/Lịch,?remind,alias,Đăng ký nhận nhắc nhở event,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1708,src/commands/thongbao/nhacnho.js,"?nhacnho, ?nn, ?remind - Đăng ký nhận nhắc nhở event",active,
Thông báo/Boss/Lịch,?listthongbao,prefix,Xem lịch sự kiện guild dạng thời gian biểu,Owner/whitelist,src/events/client/messageCreate.js:1714,src/events/client/messageCreate.js,"?listthongbao, ?lichguild, ?tgb - Xem lịch sự kiện guild dạng thời gian biểu",active,
Thông báo/Boss/Lịch,?lichguild,alias,Xem lịch sự kiện guild dạng thời gian biểu,Owner/whitelist,src/events/client/messageCreate.js:1714,src/events/client/messageCreate.js,"?listthongbao, ?lichguild, ?tgb - Xem lịch sự kiện guild dạng thời gian biểu",unclear,Trùng alias; nhánh tại src/events/client/messageCreate.js:1507 sẽ bắt trước nhánh này.
Thông báo/Boss/Lịch,?tgb,alias,Xem lịch sự kiện guild dạng thời gian biểu,Owner/whitelist,src/events/client/messageCreate.js:1714,src/events/client/messageCreate.js,"?listthongbao, ?lichguild, ?tgb - Xem lịch sự kiện guild dạng thời gian biểu",active,
Thông báo/Boss/Lịch,?lichsk,alias,Xem lịch sự kiện guild dạng thời gian biểu,Owner/whitelist,src/events/client/messageCreate.js:1714,src/events/client/messageCreate.js,"?listthongbao, ?lichguild, ?tgb - Xem lịch sự kiện guild dạng thời gian biểu",active,
Minigame/Economy,?bal,prefix,Xem số dư,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1752,src/commands/minigame/balance.js,"?bal, ?balance, ?tien, ?hat - Xem số dư",active,
Minigame/Economy,?balance,alias,Xem số dư,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1752,src/commands/minigame/balance.js,"?bal, ?balance, ?tien, ?hat - Xem số dư",active,
Minigame/Economy,?tien,alias,Xem số dư,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1752,src/commands/minigame/balance.js,"?bal, ?balance, ?tien, ?hat - Xem số dư",active,
Minigame/Economy,?hat,alias,Xem số dư,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1752,src/commands/minigame/balance.js,"?bal, ?balance, ?tien, ?hat - Xem số dư",active,
Minigame/Economy,?nhua,prefix,Xem tất cả vật phẩm,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1757,src/commands/minigame/nhua.js,"?nhua, ?item, ?vatpham - Xem tất cả vật phẩm",active,
Minigame/Economy,?item,alias,Xem tất cả vật phẩm,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1757,src/commands/minigame/nhua.js,"?nhua, ?item, ?vatpham - Xem tất cả vật phẩm",active,
Minigame/Economy,?vatpham,alias,Xem tất cả vật phẩm,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1757,src/commands/minigame/nhua.js,"?nhua, ?item, ?vatpham - Xem tất cả vật phẩm",active,
Minigame/Economy,?daily,prefix,Nhận thưởng hàng ngày,Owner/whitelist,src/events/client/messageCreate.js:1762,src/events/client/messageCreate.js,?daily - Nhận thưởng hàng ngày,active,
Minigame/Economy,?weekly,prefix,Nhận thưởng hàng tuần,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1767,src/commands/minigame/daily.js,?weekly - Nhận thưởng hàng tuần,active,
Minigame/Economy,?shop,prefix,Hiển thị shop,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1772,src/commands/minigame/shop.js,"?shop, ?cuahang - Hiển thị shop",active,
Minigame/Economy,?cuahang,alias,Hiển thị shop,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1772,src/commands/minigame/shop.js,"?shop, ?cuahang - Hiển thị shop",active,
Minigame/Economy,?buy,prefix,Mua item,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1777,src/commands/minigame/buy.js,"?buy, ?mua - Mua item",active,
Minigame/Economy,?mua,alias,Mua item,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1777,src/commands/minigame/buy.js,"?buy, ?mua - Mua item",active,
Minigame/Economy,?sell,prefix,Bán item,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1782,src/commands/minigame/sell.js,"?sell, ?ban - Bán item",active,
Minigame/Economy,?nv,prefix,Nhiệm vụ,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1788,src/commands/minigame/quest.js,"?nv, ?q, ?quest, ?nhiemvu - Nhiệm vụ",active,
Minigame/Economy,?q,alias,Nhiệm vụ,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1788,src/commands/minigame/quest.js,"?nv, ?q, ?quest, ?nhiemvu - Nhiệm vụ",active,
Minigame/Economy,?quest,alias,Nhiệm vụ,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1788,src/commands/minigame/quest.js,"?nv, ?q, ?quest, ?nhiemvu - Nhiệm vụ",active,
Minigame/Economy,?nhiemvu,alias,Nhiệm vụ,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1788,src/commands/minigame/quest.js,"?nv, ?q, ?quest, ?nhiemvu - Nhiệm vụ",active,
Minigame/Economy,?info,prefix,Thông tin người chơi,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1794,src/commands/minigame/info.js,"?info, ?i, ?thongtin, ?tt - Thông tin người chơi",active,
Minigame/Economy,?i,alias,Thông tin người chơi,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1794,src/commands/minigame/info.js,"?info, ?i, ?thongtin, ?tt - Thông tin người chơi",active,
Minigame/Economy,?thongtin,alias,Thông tin người chơi,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1794,src/commands/minigame/info.js,"?info, ?i, ?thongtin, ?tt - Thông tin người chơi",active,
Minigame/Economy,?thanhtuu,prefix,Thành tựu,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1800,src/commands/minigame/achievement.js,"?thanhtuu, ?tt, ?achievements - Thành tựu",active,
Minigame/Economy,?tt,alias,Thành tựu,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1800,src/commands/minigame/achievement.js,"?thanhtuu, ?tt, ?achievements - Thành tựu",active,
Minigame/Economy,?achievements,alias,Thành tựu,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1800,src/commands/minigame/achievement.js,"?thanhtuu, ?tt, ?achievements - Thành tựu",active,
Minigame/Economy,?ach,alias,Thành tựu,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1800,src/commands/minigame/achievement.js,"?thanhtuu, ?tt, ?achievements - Thành tựu",active,
Minigame/Economy,?settitle,prefix,Danh hiệu,Role Quản Lý,src/events/client/messageCreate.js:1806,src/commands/minigame/title.js,"?settitle, ?danhieu - Danh hiệu",active,
Minigame/Economy,?danhieu,alias,Danh hiệu,Role Quản Lý,src/events/client/messageCreate.js:1806,src/commands/minigame/title.js,"?settitle, ?danhieu - Danh hiệu",active,
Minigame/Economy,?box,prefix,Xem và mở box,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1812,src/commands/minigame/box.js,"?box, ?hom - Xem và mở box",active,
Minigame/Economy,?hom,alias,Xem và mở box,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1812,src/commands/minigame/box.js,"?box, ?hom - Xem và mở box",active,
Minigame/Economy,?dismantle,prefix,"Phân tách đồ tím | ?dismantleall, ?phantachhet, ?pth - Phân tách hết",Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1819,src/commands/minigame/dismantle.js,"?dismantle, ?phantach - Phân tách đồ tím | ?dismantleall, ?phantachhet, ?pth - Phân tách hết",active,
Minigame/Economy,?phantach,alias,"Phân tách đồ tím | ?dismantleall, ?phantachhet, ?pth - Phân tách hết",Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1819,src/commands/minigame/dismantle.js,"?dismantle, ?phantach - Phân tách đồ tím | ?dismantleall, ?phantachhet, ?pth - Phân tách hết",active,
Minigame/Economy,?dismantleall,prefix,Phân tách trang bị.,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1822,src/commands/minigame/dismantle.js,,active,
Minigame/Economy,?phantachhet,alias,Phân tách trang bị.,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1822,src/commands/minigame/dismantle.js,,active,
Minigame/Economy,?pth,alias,Phân tách trang bị.,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1822,src/commands/minigame/dismantle.js,,active,
Minigame/Economy,?inv,prefix,Xem kho đồ,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1827,src/commands/minigame/inventory.js,"?inv, ?inventory, ?tuido, ?kho, ?tui, ?bag - Xem kho đồ",active,
Minigame/Economy,?inventory,alias,Xem kho đồ,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1827,src/commands/minigame/inventory.js,"?inv, ?inventory, ?tuido, ?kho, ?tui, ?bag - Xem kho đồ",active,
Minigame/Economy,?tuido,alias,Xem kho đồ,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1827,src/commands/minigame/inventory.js,"?inv, ?inventory, ?tuido, ?kho, ?tui, ?bag - Xem kho đồ",active,
Minigame/Economy,?kho,alias,Xem kho đồ,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1827,src/commands/minigame/inventory.js,"?inv, ?inventory, ?tuido, ?kho, ?tui, ?bag - Xem kho đồ",active,
Minigame/Economy,?tui,alias,Xem kho đồ,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1827,src/commands/minigame/inventory.js,"?inv, ?inventory, ?tuido, ?kho, ?tui, ?bag - Xem kho đồ",active,
Minigame/Economy,?bag,alias,Xem kho đồ,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1827,src/commands/minigame/inventory.js,"?inv, ?inventory, ?tuido, ?kho, ?tui, ?bag - Xem kho đồ",active,
Minigame/Economy,?tune,prefix,Tune trang bị,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1832,src/commands/minigame/tune.js,"?tune, ?nangcap, ?nc - Tune trang bị",active,
Minigame/Economy,?nangcap,alias,Tune trang bị,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1832,src/commands/minigame/tune.js,"?tune, ?nangcap, ?nc - Tune trang bị",active,
Minigame/Economy,?nc,alias,Tune trang bị,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1832,src/commands/minigame/tune.js,"?tune, ?nangcap, ?nc - Tune trang bị",active,
Minigame/Economy,?buy,prefix,Mua vật phẩm,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1838,src/commands/minigame/buy.js,"?buy, ?b - Mua vật phẩm",unclear,Trùng alias; nhánh tại src/events/client/messageCreate.js:1777 sẽ bắt trước nhánh này.
Minigame/Economy,?b,alias,Mua vật phẩm,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1838,src/commands/minigame/buy.js,"?buy, ?b - Mua vật phẩm",active,
Minigame/Economy,?equip,prefix,Gắn trang bị,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1844,src/commands/minigame/equip.js,"?equip, ?gan, ?eq - Gắn trang bị",active,
Minigame/Economy,?gan,alias,Gắn trang bị,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1844,src/commands/minigame/equip.js,"?equip, ?gan, ?eq - Gắn trang bị",active,
Minigame/Economy,?eq,alias,Gắn trang bị,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1844,src/commands/minigame/equip.js,"?equip, ?gan, ?eq - Gắn trang bị",active,
Minigame/Economy,?unequip,prefix,Gỡ trang bị,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1849,src/commands/minigame/unequip.js,"?unequip, ?ue, ?go - Gỡ trang bị",active,
Minigame/Economy,?ue,alias,Gỡ trang bị,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1849,src/commands/minigame/unequip.js,"?unequip, ?ue, ?go - Gỡ trang bị",active,
Minigame/Economy,?go,alias,Gỡ trang bị,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1849,src/commands/minigame/unequip.js,"?unequip, ?ue, ?go - Gỡ trang bị",active,
Minigame/Economy,?lock,prefix,Khóa trang bị,Không thấy kiểm tra rõ trong nhánh quét,src/events/client/messageCreate.js:1855,src/commands/minigame/lock.js,?lock - Khóa trang bị,active,
